Screen,Goal,Exam,Exam_tagged,Is_exam_tagged_correct,Subject,Subject_tagged,Is_subject_tagged_correct,Video_id,Duration_given,Duration_display,Expected_duration_display,Is_duration_okay,Embium_coins,Is_title_present,Is_description_less_150_character_range,Image_url_present,Video_url_present,Teaser_url_present,Status,Title,Description,Learn_path
Learn/home/Biology,Rajasthan Board,11th RBSE,11th RBSE,Yes,Biology,Biology,Yes,5913149.0,174.0,2 min 54 sec,2 mins 54 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Active Transport of Solutes in Xylem,Plants can use energy in the form of ATP to move minerals and water throughout their body against concentration gradients. Watch this video to learn about the active transport of solutes.,Rajasthan Board--11th RBSE--Biology--Plant Physiology--Transport in Plants--Introduction to Transport in Plants
Learn/home,Engineering,JEE Main,jee main,Yes,All Subjects,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn’t mean we can’t visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--jee main--physics--electricity and magnetism--magnetic effects of current and magnetism--magnet and magnetic dipole
Learn/home/Physics,Engineering,JEE Main,jee main,Yes,Physics,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn’t mean we can’t visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--jee main--physics--electricity and magnetism--magnetic effects of current and magnetism--magnet and magnetic dipole
Learn/home/Mathematics,Engineering,JEE Main,jee main,Yes,Mathematics,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn’t mean we can’t visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--jee main--physics--electricity and magnetism--magnetic effects of current and magnetism--magnet and magnetic dipole
Learn/home/Chemistry,Engineering,JEE Main,jee main,Yes,Chemistry,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn’t mean we can’t visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--jee main--physics--electricity and magnetism--magnetic effects of current and magnetism--magnet and magnetic dipole
Learn/home,Engineering,JEE Advanced,jee advanced,Yes,All Subjects,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,A bar magnet is placed on a whitepaper. If we sprinkle iron filings around the bar magnet it forms some shape around it.Do you what we call these shapes? Watch this video and learn,engineering--jee advanced--physics--electricity and magnetism--magnetic effects of current and magnetism--biot-savart’s law
Learn/home/Physics,Engineering,JEE Advanced,jee advanced,Yes,Physics,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,A bar magnet is placed on a whitepaper. If we sprinkle iron filings around the bar magnet it forms some shape around it.Do you what we call these shapes? Watch this video and learn,engineering--jee advanced--physics--electricity and magnetism--magnetic effects of current and magnetism--biot-savart’s law
Learn/home/Mathematics,Engineering,JEE Advanced,jee advanced,Yes,Mathematics,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,A bar magnet is placed on a whitepaper. If we sprinkle iron filings around the bar magnet it forms some shape around it.Do you what we call these shapes? Watch this video and learn,engineering--jee advanced--physics--electricity and magnetism--magnetic effects of current and magnetism--biot-savart’s law
Learn/home/Chemistry,Engineering,JEE Advanced,jee advanced,Yes,Chemistry,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,A bar magnet is placed on a whitepaper. If we sprinkle iron filings around the bar magnet it forms some shape around it.Do you what we call these shapes? Watch this video and learn,engineering--jee advanced--physics--electricity and magnetism--magnetic effects of current and magnetism--biot-savart’s law
Learn/home,Engineering,MHT-CET,mht-cet,Yes,All Subjects,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--mht-cet--physics--electricity and magnetism--magnetism--bar magnet
Learn/home/Physics,Engineering,MHT-CET,mht-cet,Yes,Physics,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--mht-cet--physics--electricity and magnetism--magnetism--bar magnet
Learn/home/Mathematics,Engineering,MHT-CET,mht-cet,Yes,Mathematics,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--mht-cet--physics--electricity and magnetism--magnetism--bar magnet
Learn/home/Chemistry,Engineering,MHT-CET,mht-cet,Yes,Chemistry,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--mht-cet--physics--electricity and magnetism--magnetism--bar magnet
Learn/home,Engineering,BITSAT,bitsat,Yes,All Subjects,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--bitsat--physics--electricity and magnetism--magnetic effects of current--magnetic effects of current
Learn/home/Physics,Engineering,BITSAT,bitsat,Yes,Physics,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--bitsat--physics--electricity and magnetism--magnetic effects of current--magnetic effects of current
Learn/home/Mathematics,Engineering,BITSAT,bitsat,Yes,Mathematics,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--bitsat--physics--electricity and magnetism--magnetic effects of current--magnetic effects of current
Learn/home/Logical Reasoning,Engineering,BITSAT,bitsat,Yes,Logical Reasoning,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--bitsat--physics--electricity and magnetism--magnetic effects of current--magnetic effects of current
Learn/home/English Proficiency,Engineering,BITSAT,bitsat,Yes,English Proficiency,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--bitsat--physics--electricity and magnetism--magnetic effects of current--magnetic effects of current
Learn/home/Chemistry,Engineering,BITSAT,bitsat,Yes,Chemistry,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--bitsat--physics--electricity and magnetism--magnetic effects of current--magnetic effects of current
Learn/home,Engineering,AP EAMCET,ap eamcet,Yes,All Subjects,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ap eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Physics,Engineering,AP EAMCET,ap eamcet,Yes,Physics,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ap eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Mathematics,Engineering,AP EAMCET,ap eamcet,Yes,Mathematics,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ap eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Chemistry,Engineering,AP EAMCET,ap eamcet,Yes,Chemistry,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ap eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home,Engineering,VITEEE,viteee,Yes,All Subjects,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--viteee--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home/Physics,Engineering,VITEEE,viteee,Yes,Physics,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--viteee--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home/Mathematics,Engineering,VITEEE,viteee,Yes,Mathematics,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--viteee--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home/English,Engineering,VITEEE,viteee,Yes,English,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--viteee--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home/Chemistry,Engineering,VITEEE,viteee,Yes,Chemistry,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--viteee--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home/Aptitude,Engineering,VITEEE,viteee,Yes,Aptitude,Physics,No,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--viteee--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home,Engineering,VITEEE (with Biology),VITEEE (with Biology),Yes,All Subjects,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--VITEEE (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Physics,Engineering,VITEEE (with Biology),VITEEE (with Biology),Yes,Physics,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--VITEEE (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/English,Engineering,VITEEE (with Biology),VITEEE (with Biology),Yes,English,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--VITEEE (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Chemistry,Engineering,VITEEE (with Biology),VITEEE (with Biology),Yes,Chemistry,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--VITEEE (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Biology,Engineering,VITEEE (with Biology),VITEEE (with Biology),Yes,Biology,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--VITEEE (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Aptitude,Engineering,VITEEE (with Biology),VITEEE (with Biology),Yes,Aptitude,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--VITEEE (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home,Engineering,KCET (UG),KEY NOT AVAILABLE,No,All Subjects,Mathematics,Yes,5914126.0,440.0,7 min 22 sec,7 mins 20 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Direction Cosine and Direction Ratio,Coordinates are used to uniquely identify a point in space. What do we use to uniquely identify the direction of a vector or directions of a line in space? Watch the Video for answers!!!,uttar pradesh board-12th uttar pradesh board-mathematics-coordinate geometry-three dimensional geometry-direction cosines and direction ratios of a line
Learn/home/Physics,Engineering,KCET (UG),KEY NOT AVAILABLE,No,Physics,Mathematics,No,5914126.0,440.0,7 min 22 sec,7 mins 20 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Direction Cosine and Direction Ratio,Coordinates are used to uniquely identify a point in space. What do we use to uniquely identify the direction of a vector or directions of a line in space? Watch the Video for answers!!!,uttar pradesh board-12th uttar pradesh board-mathematics-coordinate geometry-three dimensional geometry-direction cosines and direction ratios of a line
Learn/home/Mathematics,Engineering,KCET (UG),KEY NOT AVAILABLE,No,Mathematics,Mathematics,Yes,5914126.0,440.0,7 min 22 sec,7 mins 20 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Direction Cosine and Direction Ratio,Coordinates are used to uniquely identify a point in space. What do we use to uniquely identify the direction of a vector or directions of a line in space? Watch the Video for answers!!!,uttar pradesh board-12th uttar pradesh board-mathematics-coordinate geometry-three dimensional geometry-direction cosines and direction ratios of a line
Learn/home/Chemistry,Engineering,KCET (UG),kcet (ug),Yes,Chemistry,Chemistry,Yes,5913914.0,79.0,4 min 43 sec,1 mins 19 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Molecularity of a Reaction,"The video elaborately describes the concept of molecularity with the help of an elementary reaction, which is the most basic type of reaction.",engineering--kcet (ug)--chemistry--physical chemistry--chemical kinetics--molecularity of a reaction
Learn/home,Engineering,SRMJEEE (UG),SRMJEEE (UG),Yes,All Subjects,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--SRMJEEE (UG)--physics--electricity and magnetism--magnetism--bar magnet
Learn/home/Physics,Engineering,SRMJEEE (UG),SRMJEEE (UG),Yes,Physics,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--SRMJEEE (UG)--physics--electricity and magnetism--magnetism--bar magnet
Learn/home/Mathematics,Engineering,SRMJEEE (UG),SRMJEEE (UG),Yes,Mathematics,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--SRMJEEE (UG)--physics--electricity and magnetism--magnetism--bar magnet
Learn/home/English,Engineering,SRMJEEE (UG),SRMJEEE (UG),Yes,English,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--SRMJEEE (UG)--physics--electricity and magnetism--magnetism--bar magnet
Learn/home/Chemistry,Engineering,SRMJEEE (UG),srmjeee (ug),Yes,Chemistry,Chemistry,Yes,5914007.0,291.0,4 min 48 sec,4 mins 51 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Detection of Amines,The concept discusses different methods of separation of amines. It also discusses the formation of different products which helps in identifying the initial amines taken.,engineering--srmjeee (ug)--chemistry--organic chemistry--amines--chemical reactions of amines
Learn/home/Aptitude,Engineering,SRMJEEE (UG),SRMJEEE (UG),Yes,Aptitude,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--SRMJEEE (UG)--physics--electricity and magnetism--magnetism--bar magnet
Learn/home,Engineering,BITSAT (with Biology),BITSAT  (with Biology),No,All Subjects,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--BITSAT  (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Physics,Engineering,BITSAT (with Biology),BITSAT  (with Biology),No,Physics,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--BITSAT  (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Logical Reasoning,Engineering,BITSAT (with Biology),BITSAT  (with Biology),No,Logical Reasoning,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--BITSAT  (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/English Proficiency,Engineering,BITSAT (with Biology),BITSAT  (with Biology),No,English Proficiency,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--BITSAT  (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Chemistry,Engineering,BITSAT (with Biology),BITSAT  (with Biology),No,Chemistry,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--BITSAT  (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Biology,Engineering,BITSAT (with Biology),BITSAT  (with Biology),No,Biology,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--BITSAT  (with Biology)--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home,Engineering,AMU-AT (B.Tech.),AMU-AT (B.Tech.),Yes,All Subjects,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--AMU-AT (B.Tech.)--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home/Physics,Engineering,AMU-AT (B.Tech.),AMU-AT (B.Tech.),Yes,Physics,Physics,Yes,5915981.0,112.0,1 min 52 sec,1 mins 52 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Field and Field Lines,"A bar magnet is placed on a white paper. If we sprinkle iron filings around the bar magnet, they form some shapes around it. Do you know what we call these shapes? Watch this video and learn.",engineering--AMU-AT (B.Tech.)--physics--electricity and magnetism--magnetic effects of electric current--magnetic field lines
Learn/home/Mathematics,Engineering,AMU-AT (B.Tech.),KEY NOT AVAILABLE,No,Mathematics,Mathematics,Yes,5914135.0,153.0,2 min 37 sec,2 mins 33 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Line and Plane,Geometry is full of wonderful figures. Euclid described a few basics very wonderfully. Let’s learn in this video how he has described some wonderful facts of a Line and a Plane.,uttar pradesh board-12th uttar pradesh board-mathematics-coordinate geometry-three dimensional geometry-coplanarity of two lines
Learn/home/Chemistry,Engineering,AMU-AT (B.Tech.),amu-at (b.tech.),Yes,Chemistry,Chemistry,Yes,5913920.0,438.0,7 min 19 sec,7 mins 18 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Collision Theory of Chemical Reactions,"Apart from the suitable temperature, pressure and physical states, there is one more factor that is the basic necessity for a chemical reaction to occur. This video describes the factor in detail using suitable examples",engineering--amu-at (b.tech.)--chemistry--physical chemistry--chemical kinetics--arrhenius collision theory
Learn/home,Engineering,TS EAMCET,ts eamcet,Yes,All Subjects,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ts eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Physics,Engineering,TS EAMCET,ts eamcet,Yes,Physics,Physics,Yes,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ts eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Mathematics,Engineering,TS EAMCET,ts eamcet,Yes,Mathematics,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ts eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home/Chemistry,Engineering,TS EAMCET,ts eamcet,Yes,Chemistry,Physics,No,5915984.0,43.0,43 sec,0 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Lines of Force of a Bar Magnet,Magnetic field lines are invisible. But it doesn't mean we can't visualise them. In this video we will perform an activity visualising magnetic field lines of a bar magnet.,engineering--ts eamcet--physics--electricity and magnetism--magnetic effects of current and magnetism--magnetic dipole
Learn/home,Medical,AP EAMCET,ap eamcet,Yes,All Subjects,Biology,Yes,5913149.0,174.0,2 min 54 sec,2 mins 54 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Active Transport of Solutes in Xylem,Plants can use energy in the form of ATP to move minerals and water throughout their body against concentration gradients. Watch this video to learn about the active transport of solutes.,medical--ap eamcet--biology--plant physiology--transport in plants--cell to cell transport
Learn/home/Physics,Medical,AP EAMCET,ap eamcet,Yes,Physics,Biology,No,5913149.0,174.0,2 min 54 sec,2 mins 54 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Active Transport of Solutes in Xylem,Plants can use energy in the form of ATP to move minerals and water throughout their body against concentration gradients. Watch this video to learn about the active transport of solutes.,medical--ap eamcet--biology--plant physiology--transport in plants--cell to cell transport
